id,text,target
40,40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는거 개극혐ㅋㅋㅋㅋ당신들의 튀어나온 뱃살과 흉측한 얼굴을보고 반성하길바람^^;;;,40대 여자들이 나이에 맞지 않게 현빈이 멋있다고 하는 모습이 좋아보이지 않는다. 자기 자신의 모습을 돌아보고 반성했으면 좋겠다.
42,40대늙은이 32% 돌아이련들...쯧쯧쯧,40대 어른 32%는 이상한 사람들인 것 같다.
90,oecd여성들중에 가장 의욕없고 꿀빨러에 핑계대기 일상인 한국 여자들이 전세계도 아니고 oecd 선진국 여자들에 비비면서 임금문제 거론하는게 가장 어이없다,여성 분들의 근로기여가 더 있어야 임금문제를 거론할수 있다고 생각합니다
116,ㅇㅇ아프던 말던 뭔상관 비호감인건 변함없노ㅋㅋ,아프던 말던 뭔상관 호감낮은건 변함없다
120,ㅈ 라인이 너무 이쁘다,몸매 라인이 너무 예쁘다
151,"ㅋㅋㅋㅋㅋ 현아 니는 섹시한거 진짜 싫다며? 근데 맨날 하는건 섹시한 옷, 표정, 춤!","현아는 섹시한 게 싫다고 하면서, 매번 섹시한 옷, 표정, 춤을 한다."
162,ㅋㅋㅋㅋ아니 뭐 그럼 딸이랑 인연 끊고 살리?ㅋㅋㅋ 김치녀들 진짜 별거 가지고 다 욕하네 ㅋㅋㅋ 세계원정성매매1위 김치녀,그렇다고 딸이랑 인연 끊고 살 수는 없는 일 아닌가? 
175,ㅋㅋ댓글로 사재기 햇다는 님들아 확증 없이 떠뜰지좀 마라어디까지나 당신들 심증일 뿐 이잖아...ㅋㅋ,"댓글로 사재기를 했다고 주장하는 사람들이, 확증 없이 이야기하지 않았으면 좋겠다. 어디까지나 당신들의 심증일 뿐이다."
266,개티즌들 또 소설쓴다 그 난리법석 친 김광석 마누라 사건도 무혐의로 끝났구만,일부 네티즌들이 사실을 왜곡하고 있다. 화제가 됐던 김광석 아내 사건도 무혐의로 끝났었다.
277,거 담배좀적당히 쳐피시라니까~~ 결국갔구먼....,담배 좀 적당히 피시지 결국 세상을 떠났구먼
307,"결별관심없고, 그냥 한혜진 왜나오는지 모르겠음 화사가 차라리 백번 착해보이고 궁금함","결별에 관심 없다. 화사가 한혜진보다 더 착해보이고 궁금해서, 출연했으면 좋겠다."
347,고인팔이? 와 진짜 세상에 지능 이상한 애들이 많구나 ㅋㅋㅋ,"고인을 이용하다니, 세상에 이해할 수 없는 행동을 하는 사람들이 많다."
383,관종인건 확실함...,관심받는걸 좋아하는건 확실함
422,국뽕오지네 사실을말했구만 왜난리,애국심이 과도한 것 같다. 사실을 말했는데 비난할 필요는 없지 않을까?
439,궁금한건 기레기들 뿐이지 어디다 뒤집어 씌우려고 수작이야,궁금한건 기자들 뿐이지 어디다 뒤집어 씌우려고 수작이야
458,그게 뭐 어때서? 현아같이 성격좋은 여자는 건들지마라. 성질드러운 계집년들과는 차원이 다른 여신이다,그게 뭐 어때서? 현아같이 성격좋은 여자는 건들지마라. 성격 나쁜 사람들과는 차원이 다른 여신이다
463,그나저나 장동건 고소영 딸은 크면 여자연예인들도 오징어 만든다.,"장동건, 고소영 딸은 크면 여자연예인들보다도 예뻐질 거다."
464,그냥 ㅂㅅ,그냥 ㅂㅅ
493,그냥싫어.생긴거부터가 무서울정도라서,나는 저 사람이 싫다. 저 사람의 외모도 싫다
505,그래 민폐 였지 키는 난쟁이 똥자루만한게 안 어울리게 사이에 껴서,그래 민폐 였지 키는 조그마한게 안 어울리게 사이에 있어서
526,그러개 왜 무릎 꿇을 짓을 하냐 ㅉㅉㅉ 결혼할사이도 아닌데 왜 그짓을 함???,다른 사람에게 사과할 행동을 하지 말아야 했다고 생각한다. 결혼할 사이가 아닌데 그렇게 행동하지 말았어야 한다.
546,그렇게 일본 불매하자던 사람들이ㅋㅋㅋ 역시 개돼지들ㅋㅋ,일본 불매하자던 사람들이 주장과 맞지 않는 행동을 보인다.
586,"근데 브라 해본적도없는 한남들이 왜 더 거품물고 난리임 ㅋㅋ 관심없다면서 기사마다 댓글비율 20,30,40대 한국남성임 ㅋㅋㅋㅋㅋㅋ 브라 해본적도 없는 수컷들 주제에","근데 브라 해본 적 없는 남성들이 왜 예민하게 반응하는지 모르겠다. 관심없다면서 기사마다 댓글 비율 20, 30, 40대 한국 남성이 많다. 브라를 해본 적이 없으면서 이야기를 하는 건 부적절하다."
606,"근데 주진모,장동건,현빈,송승헌 정도의 얼굴과 재력이면..여자들이 먼저 알아서 팬티 내릴걸..","근데 주진모, 장동건, 현빈, 송승헌 정도의 외모와 재력이면 여성들이 적극적으로 다가갈 것이다."
651,기안하차언제해 좀 하차해 니땜에 나혼산안봐,기안이 있어서 나혼산을 잘 안 보게 된다.
697,김원희는 왜 애를 않놓노 불임인가,김원희는 왜 애를 안 낳는가?
709,김종국 매니저 고만좀 깝쳐라. 니가 연예인이냐?,김종국 매니저는 자신이 연예인인 것처럼 행동하지 않았으면 좋겠다.
714,김종민같은 호구는 연애못해 ㅎㅎ 나쁜남자가 대세지 박력있게 주먹질도하고 돈도 빨아먹고 쌍욕해주면 여자들이 좋아하더라 ㅎㅎ주먹맛 못잊어서 술만취하면 전화오는 여자가 한둘이 아니다! 무조건 패라 두번 패라~!,"김종민 같은 사람은 연애 못할 것 같다. 나쁜 남자가 대세지 박력있게 주먹질도 하고 돈도 잘 내고 거칠게 대해주면 여자들이 좋아하더라, 거친 맛 못 잊어서 술만 취하면 전화오는 여자가 한 둘이 아니다! "
725,김태리 넘 안이뻐....코도 낮고 좀 촌스럽게 생김...여주맞기엔 넘......왜이렇게 띄어주고 여기저기 나오지??,김태리가 여자 주인공을 하기에는 눈에 띄는 외모는 아닌 것 같다. 왜 이렇게 띄워주고 여기저기 나오지?
863,남녀바뀌었으면 마스크 쿵쾅이들 떡밥 생겼다면서 우르를르르 몰려오겠짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄹㅇ,남녀가 바뀌었다면 페미니스트들이 단체로 반발했을 것이다.
883,남자가 바람좀 필수도있지 매일 집밥만먹나 주기적으로 외식도하고 그러는거지 재결합해줘라,사람이 외도를 할 수도 있지 재결합해줘라
884,남자가 사회 생활하다 보면 손이 스칠수도 있는거지 거참~~,남자도 조심할 필요가 있다.
919,남편돈으로 호의호식 ㄷㄷ 취집 잘한 케이스,남편돈으로 호의호식 하는 것 같다. 경제적 목적으로 결혼을 한 것 같다
959,너무 느끼하게 성형했어ㅠ 적당히 성형했어야짓,너무 느끼하다 성형은 적당한게 좋은것 같아
961,너무 미화하네 옛날부터 국대축구 본 사람들은 손탐욕인거 다 아는데,너무 미화하네 옛날부터 국대축구 본 사람들은 다 알아
